name,source,gender,wikidata,type
Bondgenotenlaan,wikidata,-,Q215669,way
Burgemeestersstraat,wikidata,-,Q30185,way
Celestijnenlaan,wikidata,-,Q1093546,relation+way
Diestsepoort,wikidata,-,Q743236,way
Diestsesteenweg,wikidata,-,Q743236,way
Diestsestraat,wikidata,-,Q743236,way
Diestsevest,wikidata,-,Q743236,way
Lepelstraat,wikidata,-,Q743236,way
Leuvensebaan,wikidata,-,Q118958,relation
Leuvensestraat,wikidata,-,Q118958,way
Minderbroedersstraat,wikidata,-,Q165005,relation+way
Naamsepoort,wikidata,-,Q134121,way
Naamsesteenweg,wikidata,-,Q134121,way
Naamsestraat,wikidata,-,Q134121,relation+way
Naamsevest,wikidata,-,Q134121,way
Nerviërsstraat,wikidata,-,Q756812,way
"Oude Diestsesteenweg",wikidata,-,Q743236,way
Parkpoort,wikidata,-,Q476178,way
Parkstraat,wikidata,-,Q476178,way
Philipssite,wikidata,-,Q170416,relation+way
Predikherenberg,wikidata,-,Q131479,way
Predikherenstraat,wikidata,-,Q131479,way
Predikherinnenstraat,wikidata,-,Q131479,way
"Prins De Lignestraat",wikidata,-,Q3922015,way
"Romeinse straat",wikidata,-,Q194029,way
Savoyestraat,wikidata,-,Q14118,way
Tervuursepoort,wikidata,-,Q456544,way
Tervuursesteenweg,wikidata,-,Q456544,relation+way
Tervuursestraat,wikidata,-,Q456544,way
Tiensesteenweg,wikidata,-,Q456550,relation+way
Tomveldstraat,wikidata,-,Q34023,way
Volmolenlaan,wikidata,-,Q21045580,way
"Antonia van Roesmaelelaan",wikidata,F,Q87136364,relation
"Berthe Gottignystraat",wikidata,F,Q87176206,relation
"Hortense Damanhof",wikidata,F,Q5906692,way
"Koningin Astridlaan",wikidata,F,Q230238,way
"Koningin Elisabethlaan",wikidata,F,Q235186,way
"Maria Van Belstraat",wikidata,F,Q87820650,way
"Marie Popelinlaan",wikidata,F,Q2627259,way
Onze-Lieve-Vrouwstraat,wikidata,F,Q345,way
"Prinses Lydialaan",wikidata,F,Q75394447,way
Sint-Annastraat,wikidata,F,Q164294,way
Sint-Beggaberg,wikidata,F,Q266765,way
Sint-Reneldislaan,wikidata,F,Q463631,way
Sint-Reneldisplein,wikidata,F,Q463631,way
"Albert Giraudstraat",wikidata,M,Q972661,way
"Albert Stainierstraat",wikidata,M,Q116957504,way
"Alfons Smetsplein",wikidata,M,Q1883809,relation
"Alfred Delaunoislaan",wikidata,M,Q4420662,way
"Andreas Vesaliusstraat",wikidata,M,Q170267,way
"Armand Thiérylaan",wikidata,M,Q677843,way
"Arnould Nobelstraat",wikidata,M,Q1976832,way
"Arthur De Greefstraat",wikidata,M,Q671682,way
